Batch,Elapsed_time_s,GPU_mem
1,10.2,1.11G
2,10.4,1.17G
3,10.6,1.17G
4,10.7,1.17G
6,10.9,1.17G
8,11.1,1.17G
9,11.2,1.18G
10,11.3,1.18G
12,11.5,1.18G
13,11.6,1.18G
15,11.8,1.18G
16,11.9,1.18G
18,12.1,1.18G
20,12.3,1.18G
21,12.4,1.18G
23,12.6,1.18G
24,12.7,1.18G
26,12.9,1.18G
28,13.1,1.18G
29,13.2,1.18G
31,13.4,1.18G
32,13.5,1.18G
33,13.6,1.18G
34,13.7,1.18G
36,13.9,1.18G
38,14.1,1.18G
40,14.3,1.18G
41,14.4,1.18G
43,14.6,1.18G
44,14.7,1.18G
46,14.9,1.18G
47,15.0,1.18G
48,15.2,1.18G
49,15.3,1.18G
50,15.4,1.18G
52,15.6,1.18G
54,15.8,1.18G
55,15.9,1.18G
57,16.1,1.18G
59,16.3,1.19G
60,16.4,1.19G
62,16.6,1.19G
63,16.7,1.19G
65,16.9,1.19G
67,17.0,1.19G
69,17.2,1.19G
71,17.4,1.19G
73,17.6,1.19G
75,17.8,1.19G
77,18.0,1.19G
79,18.2,1.19G
81,18.3,1.19G
83,18.5,1.19G
85,18.7,1.19G
86,18.8,1.19G
88,19.0,1.19G
89,19.1,1.19G
91,19.3,1.19G
93,19.5,1.19G
95,19.7,1.19G
97,19.9,1.19G
99,20.1,1.19G
101,20.3,1.19G
103,20.5,1.19G
104,20.6,1.19G
106,20.8,1.19G
108,21.0,1.19G
110,21.2,1.19G
111,21.3,1.19G
113,21.5,1.19G
115,21.7,1.19G
117,21.8,1.19G
119,22.0,1.19G
121,22.2,1.19G
123,22.4,1.19G
124,22.5,1.19G
125,22.7,1.19G
127,22.9,1.19G
129,23.1,1.19G
131,23.3,1.19G
132,23.4,1.19G
133,23.5,1.19G
135,23.7,1.19G
137,23.9,1.19G
139,24.1,1.19G
141,24.3,1.19G
143,24.5,1.19G
145,24.7,1.19G
147,24.9,1.19G
149,25.1,1.19G
151,25.3,1.19G
153,25.5,1.19G
155,25.7,1.19G
157,25.9,1.19G
159,26.0,1.19G
161,26.2,1.19G
163,26.4,1.19G
165,26.6,1.19G
167,26.7,1.19G
169,26.9,1.19G
171,27.1,1.19G
173,27.3,1.19G
175,27.5,1.19G
177,27.7,1.19G
179,27.8,1.19G
180,28.0,1.19G
182,28.1,1.19G
183,28.2,1.19G
185,28.4,1.19G
187,28.6,1.19G
189,28.8,1.19G
191,29.0,1.19G
192,29.1,1.19G
193,29.2,1.19G
194,29.3,1.19G
195,29.4,1.19G
197,29.5,1.19G
199,29.7,1.19G
201,29.9,1.19G
203,30.1,1.19G
205,30.3,1.19G
207,30.4,1.19G
209,30.6,1.19G
211,30.8,1.19G
212,30.9,1.19G
213,31.0,1.19G
214,31.1,1.19G
216,31.3,1.19G
218,31.5,1.19G
219,31.6,1.19G
221,31.8,1.19G
223,32.0,1.19G
225,32.2,1.19G
227,32.4,1.19G
229,32.5,1.19G
231,32.7,1.19G
233,32.9,1.19G
235,33.1,1.19G
237,33.2,1.19G
238,33.4,1.19G
240,33.5,1.19G
242,33.7,1.19G
244,33.9,1.19G
245,34.0,1.19G
246,34.1,1.19G
248,34.3,1.19G
249,34.4,1.19G
251,34.6,1.19G
252,34.7,1.19G
254,34.9,1.19G
255,35.0,1.19G
257,35.2,1.19G
258,35.3,1.19G
260,35.5,1.19G
262,35.7,1.19G
264,35.9,1.19G
266,36.1,1.19G
267,36.2,1.19G
268,36.2,1.19G
