epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.4746,1.25478,3.98557,1.41121,0.33155,0.40859,0.38953,0.29369,1.14384,3.05952,1.31734,0.00166045,0.00166045,0.0684515
2,75.8685,1.14262,2.43382,1.27462,0.68957,0.61228,0.66597,0.46299,1.10981,2.08445,1.24483,0.00326124,0.00326124,0.0367189
3,105.273,1.04678,1.71615,1.16936,0.75747,0.66089,0.71912,0.47562,1.26668,1.78366,1.35021,0.00479603,0.00479603,0.00492041
4,134.798,1.02582,1.52809,1.15883,0.70246,0.5795,0.65987,0.43605,1.23182,2.06618,1.32989,0.004703,0.004703,0.004703
5,163.767,0.97884,1.34998,1.12247,0.65837,0.60811,0.6582,0.43334,1.27758,1.89537,1.34292,0.004604,0.004604,0.004604
6,192.963,0.9314,1.22462,1.08458,0.81109,0.75191,0.82635,0.59201,1.0794,1.32503,1.21629,0.004505,0.004505,0.004505
7,221.663,0.90423,1.10767,1.06468,0.84124,0.7964,0.85526,0.60988,1.07908,1.22151,1.19307,0.004406,0.004406,0.004406
8,250.607,0.8784,1.00894,1.04663,0.80782,0.76195,0.81989,0.5905,1.10297,1.24816,1.24059,0.004307,0.004307,0.004307
9,279.562,0.83872,0.92618,1.02275,0.81736,0.76882,0.82781,0.59062,1.10232,1.22982,1.23684,0.004208,0.004208,0.004208
10,308.282,0.81098,0.87965,1.00548,0.83182,0.76731,0.83326,0.5933,1.07647,1.1764,1.19837,0.004109,0.004109,0.004109
11,336.7,0.77613,0.80502,0.98304,0.85939,0.7855,0.85739,0.60563,1.07668,1.10491,1.22443,0.00401,0.00401,0.00401
12,365.146,0.75604,0.76001,0.97171,0.83304,0.79457,0.85081,0.61293,1.07707,1.13572,1.22632,0.003911,0.003911,0.003911
13,393.984,0.72862,0.71719,0.95307,0.84969,0.78701,0.84282,0.59966,1.08236,1.09912,1.21851,0.003812,0.003812,0.003812
14,422.689,0.69321,0.6624,0.93623,0.83208,0.83018,0.87297,0.62836,1.04629,1.02969,1.21314,0.003713,0.003713,0.003713
15,451.676,0.68308,0.6216,0.93035,0.84844,0.82768,0.8742,0.62555,1.05809,1.01009,1.19892,0.003614,0.003614,0.003614
16,480.328,0.65188,0.59885,0.91337,0.83346,0.79705,0.84868,0.59804,1.10899,1.09398,1.24831,0.003515,0.003515,0.003515
